10:13:45:158 [ALWAYS]	GUDE Logging Started
10:13:45:158 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:13:45:158 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:13:45:158 [ERROR]	Initialize resume cache pointer failure
10:13:45:158 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:13:45:158 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:13:46:786 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:13:46:786 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:13:46:786 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:13:46:786 [ERROR]	Initialize resume cache pointer failure
10:13:46:787 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:13:46:787 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:13:46:790 [WARN]	WGudeRequest::applyAutoDetectProxyAutoConfigSettings Failed to autodetect proxy settings. WinHTTP Unable To Download Script. last error code = 12167 
